GEO.id,GEO.id2,GEO.display-label,HC01_VC02,HC02_VC02,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC05,HC02_VC05,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09,HC01_VC10,HC02_VC10,HC01_VC11,HC02_VC11,HC01_VC12,HC02_VC12,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC01_VC15,HC02_VC15,HC01_VC17,HC02_VC17,HC01_VC18,HC02_VC18,HC01_VC19,HC02_VC19,HC01_VC20,HC02_VC20,HC01_VC21,HC02_VC21,HC01_VC22,HC02_VC22,HC01_VC23,HC02_VC23,HC01_VC24,HC02_VC24,HC01_VC25,HC02_VC25,HC01_VC27,HC02_VC27,HC01_VC28,HC02_VC28,HC01_VC29,HC02_VC29,HC01_VC30,HC02_VC30,HC01_VC31,HC02_VC31,HC01_VC32,HC02_VC32,HC01_VC34,HC02_VC34,HC01_VC35,HC02_VC35,HC01_VC36,HC02_VC36,HC01_VC37,HC02_VC37,HC01_VC38,HC02_VC38,HC01_VC39,HC02_VC39,HC01_VC40,HC02_VC40,HC01_VC41,HC02_VC41,HC01_VC42,HC02_VC42,HC01_VC43,HC02_VC43,HC01_VC44,HC02_VC44,HC01_VC45,HC02_VC45,HC01_VC46,HC02_VC46,HC01_VC48,HC02_VC48,HC01_VC49,HC02_VC49,HC01_VC50,HC02_VC50,HC01_VC51,HC02_VC51,HC01_VC53,HC02_VC53,HC01_VC54,HC02_VC54,HC01_VC55,HC02_VC55,HC01_VC56,HC02_VC56,HC01_VC57,HC02_VC57,HC01_VC58,HC02_VC58,HC01_VC59,HC02_VC59,HC01_VC60,HC02_VC60,HC01_VC61,HC02_VC61,HC01_VC62,HC02_VC62,HC01_VC63,HC02_VC63,HC01_VC64,HC02_VC64,HC01_VC65,HC02_VC65,HC01_VC66,HC02_VC66,HC01_VC67,HC02_VC67,HC01_VC68,HC02_VC68,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC71,HC02_VC71,HC01_VC72,HC02_VC72,HC01_VC73,HC02_VC73,HC01_VC74,HC02_VC74,HC01_VC75,HC02_VC75,HC01_VC76,HC02_VC76,HC01_VC77,HC02_VC77,HC01_VC78,HC02_VC78,HC01_VC79,HC02_VC79,HC01_VC80,HC02_VC80,HC01_VC81,HC02_VC81,HC01_VC82,HC02_VC82,HC01_VC83,HC02_VC83,HC01_VC84,HC02_VC84,HC01_VC85,HC02_VC85,HC01_VC86,HC02_VC86,HC01_VC87,HC02_VC87,HC01_VC89,HC02_VC89,HC01_VC90,HC02_VC90,HC01_VC92,HC02_VC92,HC01_VC93,HC02_VC93,HC01_VC94,HC02_VC94,HC01_VC95,HC02_VC95,HC01_VC96,HC02_VC96,HC01_VC97,HC02_VC97,HC01_VC98,HC02_VC98,HC01_VC99,HC02_VC99,HC01_VC100,HC02_VC100,HC01_VC101,HC02_VC101,HC01_VC102,HC02_VC102,HC01_VC103,HC02_VC103,HC01_VC104,HC02_VC104,HC01_VC105,HC02_VC105,HC01_VC106,HC02_VC106,HC01_VC107,HC02_VC107,HC01_VC108,HC02_VC108,HC01_VC109,HC02_VC109,HC01_VC110,HC02_VC110,HC01_VC111,HC02_VC111,HC01_VC112,HC02_VC112,HC01_VC113,HC02_VC113,HC01_VC114,HC02_VC114,HC01_VC115,HC02_VC115
8600000US06390,06390,ZCTA5 06390,221,100.0,165,74.7,165,74.7,165,74.7,0,0.0,0.0,(X),0,0.0,56,25.3,118,100.0,87,73.7,87,73.7,87,73.7,9,100.0,9,100.0,165,100.0,110,66.7,7,4.2,11,6.7,23,13.9,0,0.0,14,8.5,13.2,(X),165,100.0,43,26.1,56,33.9,32,19.4,6,3.6,21,12.7,7,4.2,6,3.6,15,9.1,0,0.0,0,0.0,15,9.1,13,7.9,3,1.8,8,4.8,26,15.8,31,18.8,25,15.2,13,7.9,10,6.1,123,74.5,29,17.6,13,7.9,0,0.0,135,100.0,11,8.1,7,5.2,16,11.9,13,9.6,18,13.3,36,26.7,8,5.9,17,12.6,3,2.2,6,4.4,50521,(X),107,79.3,53745,(X),30,22.2,13860,(X),2,1.5,5000,(X),3,2.2,1200,(X),19,14.1,57158,(X),67,100.0,3,4.5,5,7.5,0,0.0,6,9.0,9,13.4,24,35.8,6,9.0,5,7.5,3,4.5,6,9.0,59583,(X),31652,(X),47917,(X),26250,(X),3,(X),(X),4.5,3,(X),(X),9.7,0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),,24,(X),(X),9.0,19,(X),(X),8.8,3,(X),(X),7.9,5,(X),(X),9.8,5,(X),(X),10.6,16,(X),(X),18.0
8600000US063HH,063HH,ZCTA5 063HH,0,,0,,0,,0,,0,,,(X),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,(X),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,(X),0,,,(X),0,,,(X),0,,,(X),0,,,(X),0,,,(X),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,(X),0,(X),0,(X),0,(X),0,(X),(X),,0,(X),(X),,0,(X),(X),,0,(X),(X),,0,(X),(X),,0,(X),(X),,0,(X),(X),,0,(X),(X),,0,(X),(X),,0,(X),(X),,0,(X),(X),,0,(X),(X),
8600000US10001,10001,ZCTA5 10001,15683,100.0,10366,66.1,10366,66.1,9112,58.1,1254,8.0,12.1,(X),0,0.0,5317,33.9,8393,100.0,4964,59.1,4964,59.1,4263,50.8,447,100.0,256,57.3,8895,100.0,402,4.5,111,1.2,4860,54.6,2626,29.5,164,1.8,732,8.2,26.3,(X),9112,100.0,5075,55.7,1163,12.8,2133,23.4,0,0.0,219,2.4,522,5.7,0,0.0,171,1.9,548,6.0,372,4.1,675,7.4,228,2.5,1029,11.3,1042,11.4,1748,19.2,1364,15.0,1304,14.3,395,4.3,236,2.6,7333,80.5,767,8.4,966,10.6,46,0.5,8772,100.0,1359,15.5,521,5.9,1052,12.0,935,10.7,1168,13.3,1313,15.0,762,8.7,855,9.7,363,4.1,444,5.1,40932,(X),6717,76.6,71667,(X),1914,21.8,10790,(X),580,6.6,5980,(X),247,2.8,3475,(X),930,10.6,16879,(X),2711,100.0,314,11.6,195,7.2,378,13.9,208,7.7,414,15.3,405,14.9,203,7.5,299,11.0,148,5.5,147,5.4,44639,(X),34704,(X),50857,(X),46352,(X),509,(X),(X),18.8,328,(X),(X),33.1,117,(X),(X),31.6,284,(X),(X),33.1,181,(X),(X),45.4,41,(X),(X),31.5,3433,(X),(X),21.9,2835,(X),(X),20.0,432,(X),(X),18.5,580,(X),(X),39.4,466,(X),(X),42.3,1684,(X),(X),20.2
8600000US10002,10002,ZCTA5 10002,70342,100.0,38511,54.7,38511,54.7,34195,48.6,4316,6.1,11.2,(X),0,0.0,31831,45.3,36299,100.0,17515,48.3,17515,48.3,15507,42.7,4257,100.0,2056,48.3,33345,100.0,2161,6.5,2221,6.7,16357,49.1,11109,33.3,721,2.2,776,2.3,33.0,(X),34195,100.0,9269,27.1,9130,26.7,7266,21.2,0,0.0,1461,4.3,7069,20.7,17,0.0,1124,3.3,5713,16.7,1078,3.2,2732,8.0,1300,3.8,1767,5.2,2158,6.3,3185,9.3,5254,15.4,7270,21.3,1809,5.3,788,2.3,28717,84.0,3836,11.2,1510,4.4,132,0.4,31647,100.0,7515,23.7,3637,11.5,5061,16.0,3846,12.2,4160,13.1,3867,12.2,1645,5.2,1175,3.7,438,1.4,303,1.0,24022,(X),21915,69.2,43697,(X),9189,29.0,8367,(X),3996,12.6,5832,(X),2364,7.5,3049,(X),3904,12.3,13594,(X),18859,100.0,2946,15.6,2316,12.3,3512,18.6,2805,14.9,2809,14.9,2240,11.9,1036,5.5,688,3.6,313,1.7,194,1.0,27368,(X),14236,(X),22979,(X),24303,(X),4815,(X),(X),25.5,3130,(X),(X),34.4,1000,(X),(X),32.6,1858,(X),(X),36.8,1447,(X),(X),47.4,395,(X),(X),48.8,24651,(X),(X),29.4,18368,(X),(X),27.2,3871,(X),(X),30.2,6175,(X),(X),38.0,4941,(X),(X),39.3,7665,(X),(X),38.2
8600000US10003,10003,ZCTA5 10003,50800,100.0,38041,74.9,38041,74.9,35674,70.2,2367,4.7,6.2,(X),0,0.0,12759,25.1,26271,100.0,18620,70.9,18620,70.9,17576,66.9,1521,100.0,909,59.8,34731,100.0,1663,4.8,456,1.3,19586,56.4,9558,27.5,874,2.5,2594,7.5,24.6,(X),35674,100.0,23628,66.2,2586,7.2,7641,21.4,0,0.0,665,1.9,1154,3.2,31,0.1,571,1.6,1194,3.3,886,2.5,2166,6.1,484,1.4,4976,13.9,4864,13.6,7284,20.4,6586,18.5,4368,12.2,1287,3.6,977,2.7,28742,80.6,2682,7.5,4124,11.6,126,0.4,29743,100.0,2811,9.5,1124,3.8,2044,6.9,2689,9.0,3685,12.4,5247,17.6,3216,10.8,3853,13.0,1827,6.1,3247,10.9,60891,(X),25673,86.3,94597,(X),4186,14.1,11908,(X),524,1.8,8052,(X),530,1.8,4485,(X),2173,7.3,29154,(X),7504,100.0,234,3.1,179,2.4,290,3.9,433,5.8,821,10.9,1162,15.5,846,11.3,1327,17.7,685,9.1,1527,20.3,92865,(X),53591,(X),63790,(X),52109,(X),342,(X),(X),4.6,155,(X),(X),6.1,46,(X),(X),3.4,150,(X),(X),15.5,66,(X),(X),18.5,19,(X),(X),14.3,5916,(X),(X),12.2,5674,(X),(X),12.6,505,(X),(X),10.7,221,(X),(X),6.3,165,(X),(X),7.8,4908,(X),(X),16.7
8600000US10004,10004,ZCTA5 10004,1096,100.0,944,86.1,944,86.1,901,82.2,43,3.9,4.6,(X),0,0.0,152,13.9,414,100.0,350,84.5,350,84.5,343,82.9,81,100.0,81,100.0,893,100.0,80,9.0,35,3.9,401,44.9,281,31.5,0,0.0,96,10.8,24.7,(X),901,100.0,581,64.5,47,5.2,252,28.0,0,0.0,13,1.4,8,0.9,0,0.0,32,3.6,14,1.6,25,2.8,114,12.7,7,0.8,77,8.5,226,25.1,178,19.8,90,10.0,58,6.4,63,7.0,17,1.9,811,90.0,56,6.2,34,3.8,0,0.0,574,100.0,13,2.3,16,2.8,17,3.0,39,6.8,33,5.7,115,20.0,45,7.8,139,24.2,68,11.8,89,15.5,101868,(X),562,97.9,123005,(X),12,2.1,30592,(X),0,0.0,,(X),0,0.0,,(X),26,4.5,7881,(X),221,100.0,0,0.0,0,0.0,7,3.2,0,0.0,7,3.2,32,14.5,22,10.0,65,29.4,39,17.6,49,22.2,130207,(X),60329,(X),87446,(X),54904,(X),0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,156,(X),(X),12.5,156,(X),(X),14.2,0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,156,(X),(X),25.0
8600000US10005,10005,ZCTA5 10005,905,100.0,773,85.4,773,85.4,742,82.0,31,3.4,4.0,(X),0,0.0,132,14.6,386,100.0,309,80.1,309,80.1,302,78.2,9,100.0,4,44.4,727,100.0,28,3.9,0,0.0,338,46.5,322,44.3,7,1.0,32,4.4,20.5,(X),742,100.0,503,67.8,9,1.2,223,30.1,0,0.0,0,0.0,7,0.9,0,0.0,0,0.0,7,0.9,7,0.9,41,5.5,0,0.0,102,13.7,294,39.6,240,32.3,9,1.2,42,5.7,0,0.0,0,0.0,674,90.8,9,1.2,59,8.0,0,0.0,612,100.0,45,7.4,11,1.8,30,4.9,34,5.6,89,14.5,77,12.6,73,11.9,153,25.0,41,6.7,59,9.6,79517,(X),582,95.1,96073,(X),7,1.1,12814,(X),0,0.0,,(X),0,0.0,,(X),7,1.1,25171,(X),119,100.0,0,0.0,0,0.0,5,4.2,0,0.0,0,0.0,32,26.9,0,0.0,56,47.1,5,4.2,21,17.6,127891,(X),62160,(X),71576,(X),65465,(X),0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,0,(X),(X),0.0,85,(X),(X),9.2,85,(X),(X),9.4,0,(X),(X),,0,(X),(X),0.0,0,(X),(X),0.0,85,(X),(X),12.8
8600000US10006,10006,ZCTA5 10006,1382,100.0,1123,81.3,1123,81.3,1065,77.1,58,4.2,5.2,(X),0,0.0,259,18.7,638,100.0,503,78.8,503,78.8,483,75.7,48,100.0,18,37.5,1026,100.0,25,2.4,13,1.3,666,64.9,244,23.8,6,0.6,72,7.0,24.2,(X),1065,100.0,753,70.7,43,4.0,239,22.4,0,0.0,25,2.3,5,0.5,0,0.0,18,1.7,36,3.4,32,3.0,44,4.1,16,1.5,171,16.1,247,23.2,288,27.0,108,10.1,75,7.0,14,1.3,16,1.5,891,83.7,44,4.1,130,12.2,0,0.0,793,100.0,43,5.4,16,2.0,48,6.1,44,5.5,67,8.4,111,14.0,139,17.5,133,16.8,115,14.5,77,9.7,81334,(X),762,96.1,108555,(X),8,1.0,6188,(X),0,0.0,,(X),8,1.0,4000,(X),3,0.4,0,(X),230,100.0,24,10.4,0,0.0,0,0.0,0,0.0,19,8.3,41,17.8,25,10.9,39,17.0,51,22.2,31,13.5,106134,(X),57470,(X),64837,(X),46458,(X),24,(X),(X),10.4,14,(X),(X),17.1,5,(X),(X),11.9,9,(X),(X),30.0,9,(X),(X),50.0,0,(X),(X),,222,(X),(X),14.8,205,(X),(X),14.9,0,(X),(X),0.0,17,(X),(X),13.0,10,(X),(X),12.0,166,(X),(X),17.5
8600000US10007,10007,ZCTA5 10007,3192,100.0,2007,62.9,2007,62.9,1836,57.5,171,5.4,8.5,(X),0,0.0,1185,37.1,1003,100.0,839,83.6,839,83.6,781,77.9,155,100.0,149,96.1,1818,100.0,98,5.4,21,1.2,898,49.4,595,32.7,7,0.4,199,10.9,22.5,(X),1836,100.0,1235,67.3,115,6.3,401,21.8,0,0.0,37,2.0,48,2.6,0,0.0,30,1.6,96,5.2,24,1.3,116,6.3,32,1.7,171,9.3,439,23.9,404,22.0,183,10.0,211,11.5,108,5.9,22,1.2,1397,76.1,132,7.2,301,16.4,6,0.3,1283,100.0,49,3.8,27,2.1,76,5.9,110,8.6,68,5.3,116,9.0,132,10.3,224,17.5,134,10.4,347,27.0,112947,(X),1247,97.2,166873,(X),25,1.9,16832,(X),0,0.0,,(X),7,0.5,4500,(X),58,4.5,94679,(X),563,100.0,8,1.4,0,0.0,22,3.9,45,8.0,26,4.6,45,8.0,45,8.0,84,14.9,77,13.7,211,37.5,152733,(X),68375,(X),77233,(X),77805,(X),8,(X),(X),1.4,8,(X),(X),2.9,8,(X),(X),6.2,8,(X),(X),13.3,8,(X),(X),19.5,8,(X),(X),57.1,134,(X),(X),5.4,122,(X),(X),5.7,0,(X),(X),0.0,12,(X),(X),3.5,6,(X),(X),2.5,114,(X),(X),11.0
8600000US10009,10009,ZCTA5 10009,50221,100.0,31250,62.2,31250,62.2,29085,57.9,2165,4.3,6.9,(X),0,0.0,18971,37.8,27374,100.0,15584,56.9,15584,56.9,14576,53.2,2670,100.0,1377,51.6,28479,100.0,2232,7.8,696,2.4,17063,59.9,6025,21.2,1150,4.0,1313,4.6,31.8,(X),29085,100.0,15860,54.5,3755,12.9,6946,23.9,0,0.0,835,2.9,1689,5.8,0,0.0,662,2.3,1419,4.9,454,1.6,2087,7.2,897,3.1,3562,12.2,2740,9.4,5139,17.7,5864,20.2,3577,12.3,1383,4.8,1301,4.5,22848,78.6,3529,12.1,2683,9.2,25,0.1,29084,100.0,4500,15.5,2349,8.1,3208,11.0,3122,10.7,4054,13.9,4958,17.0,2654,9.1,2743,9.4,849,2.9,647,2.2,40176,(X),21934,75.4,61207,(X),6052,20.8,10631,(X),2482,8.5,6548,(X),1723,5.9,3227,(X),3218,11.1,15778,(X),11823,100.0,1750,14.8,1078,9.1,1360,11.5,1103,9.3,1511,12.8,1725,14.6,1258,10.6,1342,11.4,419,3.5,277,2.3,40809,(X),27460,(X),45417,(X),42138,(X),2523,(X),(X),21.3,1840,(X),(X),32.3,740,(X),(X),30.6,1717,(X),(X),39.6,1323,(X),(X),50.1,506,(X),(X),57.8,12937,(X),(X),22.3,9381,(X),(X),19.1,1264,(X),(X),18.0,3516,(X),(X),38.9,2718,(X),(X),41.1,4535,(X),(X),19.3
